# n_data=425491,n_mc=887486
bin_low,bin_high,data,data_err,mc_detector,mc_hadron,ratio
0.0000,0.0050,0.575335,0.0164449,0.44643,0.302653,1.28875
0.0050,0.0100,3.2828,0.0392818,4.3266,2.98642,0.758748
0.0100,0.0150,10.0961,0.0688885,10.9009,9.37233,0.926171
0.0150,0.0200,15.8161,0.0862222,15.2586,15.4594,1.03654
0.0200,0.0250,17.0194,0.0894421,16.2923,18.0129,1.04463
0.0250,0.0300,15.9994,0.0867205,15.1874,17.1421,1.05347
0.0300,0.0350,14.1314,0.081501,13.531,14.8845,1.04437
0.0350,0.0400,12.1648,0.0756174,11.6651,12.5604,1.04284
0.0400,0.0450,10.4369,0.0700415,10.0177,10.5557,1.04185
0.0450,0.0500,8.98021,0.06497,8.70707,9.15306,1.03137
0.0500,0.0550,7.85305,0.060756,7.63708,7.86582,1.02828
0.0550,0.0600,6.9186,0.0570268,6.71132,6.85285,1.03089
0.0600,0.0650,6.15289,0.0537786,6.07424,6.03796,1.01295
0.0650,0.0700,5.45816,0.0506516,5.32673,5.3326,1.02467
0.0700,0.0750,4.8504,0.0477484,4.81901,4.75185,1.00651
0.0750,0.0800,4.43441,0.0456549,4.40029,4.36717,1.00775
0.0800,0.0850,3.95449,0.0431137,3.99556,3.96446,0.989721
0.0850,0.0900,3.65037,0.0414227,3.63949,3.50699,1.00299
0.0900,0.0950,3.37304,0.0398181,3.3436,3.25504,1.0088
0.0950,0.1000,3.01346,0.0376359,3.04072,2.97988,0.991035
0.1000,0.1050,2.80852,0.0363336,2.88433,2.73312,0.973717
0.1050,0.1100,2.55752,0.034672,2.65469,2.48117,0.963397
0.1100,0.1150,2.43953,0.0338628,2.48342,2.30719,0.982327
0.1150,0.1200,2.23224,0.0323922,2.27542,2.15508,0.981023
0.1200,0.1250,2.00474,0.0306972,2.16048,1.99688,0.927914
0.1250,0.1300,1.90603,0.029932,1.96713,1.86775,0.96894
0.1300,0.1350,1.76596,0.0288111,1.84949,1.74876,0.954836
0.1350,0.1400,1.66819,0.0280022,1.75484,1.63158,0.950622
0.1400,0.1450,1.5676,0.0271449,1.63901,1.5056,0.956431
0.1450,0.1500,1.50508,0.0265981,1.54504,1.42222,0.974137
0.1500,0.1550,1.34621,0.0251551,1.43845,1.32712,0.935875
0.1550,0.1600,1.30438,0.0247612,1.3643,1.22616,0.95608
0.1600,0.1650,1.2381,0.0241239,1.28971,1.20475,0.959983
0.1650,0.1700,1.1314,0.023061,1.22616,1.09546,0.922718
0.1700,0.1750,1.07311,0.0224591,1.14413,1.04227,0.937927
0.1750,0.1800,1.01624,0.0218558,1.09005,0.956636,0.932288
0.1800,0.1850,0.948551,0.0211154,1.02019,0.919001,0.929779
0.1850,0.1900,0.903427,0.0206071,0.969931,0.86424,0.931434
0.1900,0.1950,0.851722,0.0200087,0.92486,0.830887,0.92092
0.1950,0.2000,0.785916,0.0192202,0.883169,0.763055,0.889882
0.2000,0.2050,0.743611,0.0186957,0.820745,0.724294,0.90602
0.2050,0.2100,0.698487,0.0181196,0.788069,0.690265,0.886327
0.2100,0.2150,0.677805,0.0178493,0.726547,0.657363,0.932913
0.2150,0.2200,0.667934,0.0177189,0.673363,0.615672,0.991937
0.2200,0.2250,0.570165,0.0163708,0.660743,0.584799,0.862915
0.2250,0.2300,0.561234,0.0162421,0.642264,0.543558,0.873837
0.2300,0.2350,0.546663,0.0160299,0.600798,0.512459,0.909895
0.2350,0.2400,0.507649,0.0154473,0.54491,0.460853,0.93162
0.2400,0.2450,0.475216,0.0149457,0.526882,0.472346,0.90194
0.2450,0.2500,0.433852,0.0142804,0.505022,0.42412,0.859075
0.2500,0.2550,0.41317,0.0139359,0.47505,0.400908,0.86974
0.2550,0.2600,0.404239,0.0137844,0.442373,0.3955,0.913797
0.2600,0.2650,0.383087,0.0134189,0.427725,0.374091,0.895639
0.2650,0.2700,0.341723,0.0126738,0.387161,0.353583,0.882638
0.2700,0.2750,0.335612,0.01256,0.384006,0.32609,0.873976
0.2750,0.2800,0.3107,0.0120848,0.358992,0.31347,0.865479
0.2800,0.2850,0.295188,0.0117793,0.334879,0.279667,0.881477
0.2850,0.2900,0.279677,0.0114656,0.309413,0.269751,0.903895
0.2900,0.2950,0.258055,0.0110135,0.303554,0.248117,0.850112
0.2950,0.3000,0.236433,0.010542,0.257131,0.229412,0.919504
0.3000,0.3050,0.214811,0.0100484,0.253074,0.210708,0.848807
0.3050,0.3100,0.200239,0.00970162,0.234145,0.213863,0.855192
0.3100,0.3150,0.164516,0.00879374,0.207778,0.187496,0.791787
0.3150,0.3200,0.157935,0.00861607,0.189524,0.162031,0.833325
0.3200,0.3250,0.153705,0.00849989,0.17082,0.151439,0.899807
0.3250,0.3300,0.136313,0.00800458,0.148509,0.127551,0.917877
0.3300,0.3350,0.113751,0.00731219,0.131157,0.112453,0.867289
0.3350,0.3400,0.10059,0.00687617,0.121241,0.10772,0.82967
0.3400,0.3450,0.0770874,0.00601952,0.0887901,0.0845085,0.868198
0.3450,0.3500,0.0667464,0.00560123,0.0824802,0.0685082,0.809241
0.3500,0.3550,0.0540552,0.00504067,0.0664799,0.0646771,0.813106
0.3550,0.3600,0.041364,0.00440941,0.0545361,0.0459726,0.75847
0.3600,0.3650,0.0366635,0.00415133,0.0412401,0.0331273,0.889025
0.3650,0.3700,0.0235023,0.00332372,0.0376344,0.0290709,0.62449
0.3700,0.3750,0.0216221,0.003188,0.0290709,0.0216342,0.743771
